subject,file,ica_components,excluded_components,n_excluded,eog_channels,status
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,30,"14,17",2,"LEYE,REYE",OK
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,30,"12,19,20",3,"LEYE,REYE",OK
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-005,sub-005_ses-01_task-WorkingMemory_run-3_eeg.set,30,28,1,"LEYE,REYE",OK
sub-005,sub-005_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-006,sub-006_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-006,sub-006_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-006,sub-006_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-006,sub-006_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-007,sub-007_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-007,sub-007_ses-01_task-WorkingMemory_run-2_eeg.set,30,1,1,"LEYE,REYE",OK
sub-007,sub-007_ses-01_task-WorkingMemory_run-3_eeg.set,30,28,1,"LEYE,REYE",OK
sub-007,sub-007_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-008,sub-008_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-008,sub-008_ses-01_task-WorkingMemory_run-2_eeg.set,30,7,1,"LEYE,REYE",OK
sub-008,sub-008_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-008,sub-008_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-009,sub-009_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-009,sub-009_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-009,sub-009_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-009,sub-009_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-010,sub-010_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-010,sub-010_ses-01_task-WorkingMemory_run-2_eeg.set,30,"2,6",2,"LEYE,REYE",OK
sub-010,sub-010_ses-01_task-WorkingMemory_run-3_eeg.set,30,8,1,"LEYE,REYE",OK
sub-010,sub-010_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-011,sub-011_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-011,sub-011_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-011,sub-011_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-011,sub-011_ses-01_task-WorkingMemory_run-4_eeg.set,30,,0,"LEYE,REYE",OK
sub-012,sub-012_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-012,sub-012_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-012,sub-012_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-014,sub-014_ses-01_task-WorkingMemory_run-1_eeg.set,30,26,1,"LEYE,REYE",OK
sub-014,sub-014_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-014,sub-014_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-015,sub-015_ses-01_task-WorkingMemory_run-1_eeg.set,30,14,1,"LEYE,REYE",OK
sub-015,sub-015_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-015,sub-015_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-016,sub-016_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-016,sub-016_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-016,sub-016_ses-01_task-WorkingMemory_run-3_eeg.set,30,"4,19,24",3,"LEYE,REYE",OK
sub-017,sub-017_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-017,sub-017_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-017,sub-017_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-018,sub-018_ses-01_task-WorkingMemory_run-1_eeg.set,30,0,1,"LEYE,REYE",OK
sub-018,sub-018_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-018,sub-018_ses-01_task-WorkingMemory_run-3_eeg.set,30,"0,2",2,"LEYE,REYE",OK
sub-019,sub-019_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-019,sub-019_ses-01_task-WorkingMemory_run-2_eeg.set,30,,0,"LEYE,REYE",OK
sub-019,sub-019_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
sub-020,sub-020_ses-01_task-WorkingMemory_run-1_eeg.set,30,,0,"LEYE,REYE",OK
sub-020,sub-020_ses-01_task-WorkingMemory_run-2_eeg.set,30,0,1,"LEYE,REYE",OK
sub-020,sub-020_ses-01_task-WorkingMemory_run-3_eeg.set,30,,0,"LEYE,REYE",OK
