subject,file,fdt_file,channels,samples,sampling_rate,duration_sec,global_std,scale_flag,flat_channels,extreme_channels,flagged_bad_channels,eog_channels,ica_components,ica_excluded,excluded_components,status,preprocessed_file,ica_file
sub-001,sub-001_ses-01_task-WorkingMemory_run-1_eeg.set,sub-001_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,163238,250.0,652.952,50.63671112060547,NORMAL_RANGE,0,3,3,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-001_ses-01_task-WorkingMemory_run-1_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-001_ses-01_task-WorkingMemory_run-1_eeg-ica.fif
sub-001,sub-001_ses-01_task-WorkingMemory_run-2_eeg.set,sub-001_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,153762,250.0,615.048,34.30708694458008,NORMAL_RANGE,0,0,0,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-001_ses-01_task-WorkingMemory_run-2_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-001_ses-01_task-WorkingMemory_run-2_eeg-ica.fif
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,sub-002_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,181121,250.0,724.484,51.58069610595703,NORMAL_RANGE,0,1,1,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-002_ses-01_task-WorkingMemory_run-1_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-002_ses-01_task-WorkingMemory_run-1_eeg-ica.fif
sub-002,sub-002_ses-01_task-WorkingMemory_run-2_eeg.set,sub-002_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,190745,250.0,762.98,61.8422737121582,NORMAL_RANGE,0,0,0,2,30,2,"14,17",OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-002_ses-01_task-WorkingMemory_run-2_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-002_ses-01_task-WorkingMemory_run-2_eeg-ica.fif
sub-002,sub-002_ses-01_task-WorkingMemory_run-3_eeg.set,sub-002_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,191226,250.0,764.904,64.39605712890625,NORMAL_RANGE,0,0,0,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-002_ses-01_task-WorkingMemory_run-3_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-002_ses-01_task-WorkingMemory_run-3_eeg-ica.fif
sub-002,sub-002_ses-01_task-WorkingMemory_run-4_eeg.set,sub-002_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,181354,250.0,725.416,63.6292724609375,NORMAL_RANGE,0,0,0,2,30,3,"12,19,20",OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-002_ses-01_task-WorkingMemory_run-4_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-002_ses-01_task-WorkingMemory_run-4_eeg-ica.fif
sub-003,sub-003_ses-01_task-WorkingMemory_run-1_eeg.set,sub-003_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,181791,250.0,727.164,45.512939453125,NORMAL_RANGE,0,1,1,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-003_ses-01_task-WorkingMemory_run-1_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-003_ses-01_task-WorkingMemory_run-1_eeg-ica.fif
sub-003,sub-003_ses-01_task-WorkingMemory_run-2_eeg.set,sub-003_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,195999,250.0,783.996,84.80831146240234,NORMAL_RANGE,0,4,4,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-003_ses-01_task-WorkingMemory_run-2_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-003_ses-01_task-WorkingMemory_run-2_eeg-ica.fif
sub-003,sub-003_ses-01_task-WorkingMemory_run-3_eeg.set,sub-003_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,196085,250.0,784.34,70.58087921142578,NORMAL_RANGE,0,7,7,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-003_ses-01_task-WorkingMemory_run-3_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-003_ses-01_task-WorkingMemory_run-3_eeg-ica.fif
sub-003,sub-003_ses-01_task-WorkingMemory_run-4_eeg.set,sub-003_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,168221,250.0,672.884,81.34529113769531,NORMAL_RANGE,0,10,10,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-003_ses-01_task-WorkingMemory_run-4_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-003_ses-01_task-WorkingMemory_run-4_eeg-ica.fif
sub-004,sub-004_ses-01_task-WorkingMemory_run-1_eeg.set,sub-004_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,168263,250.0,673.052,228.12820434570312,VERY_HIGH,0,1,1,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-004_ses-01_task-WorkingMemory_run-1_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-004_ses-01_task-WorkingMemory_run-1_eeg-ica.fif
sub-004,sub-004_ses-01_task-WorkingMemory_run-2_eeg.set,sub-004_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,184071,250.0,736.284,463.2611083984375,VERY_HIGH,0,2,2,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-004_ses-01_task-WorkingMemory_run-2_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-004_ses-01_task-WorkingMemory_run-2_eeg-ica.fif
sub-004,sub-004_ses-01_task-WorkingMemory_run-3_eeg.set,sub-004_ses-01_task-WorkingMemory_run-3_eeg.fdt,71,158672,250.0,634.688,56.56907272338867,NORMAL_RANGE,0,5,5,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-004_ses-01_task-WorkingMemory_run-3_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-004_ses-01_task-WorkingMemory_run-3_eeg-ica.fif
sub-004,sub-004_ses-01_task-WorkingMemory_run-4_eeg.set,sub-004_ses-01_task-WorkingMemory_run-4_eeg.fdt,71,165216,250.0,660.864,132.72303771972656,VERY_HIGH,0,9,9,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-004_ses-01_task-WorkingMemory_run-4_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-004_ses-01_task-WorkingMemory_run-4_eeg-ica.fif
sub-005,sub-005_ses-01_task-WorkingMemory_run-1_eeg.set,sub-005_ses-01_task-WorkingMemory_run-1_eeg.fdt,71,149831,250.0,599.324,36.47655487060547,NORMAL_RANGE,0,15,15,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-005_ses-01_task-WorkingMemory_run-1_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-005_ses-01_task-WorkingMemory_run-1_eeg-ica.fif
sub-005,sub-005_ses-01_task-WorkingMemory_run-2_eeg.set,sub-005_ses-01_task-WorkingMemory_run-2_eeg.fdt,71,153479,250.0,613.916,29.8319149017334,NORMAL_RANGE,0,10,10,2,30,0,,OK,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessed\sub-005_ses-01_task-WorkingMemory_run-2_eeg_preprocessed_raw.fif,C:\Users\Ali\Desktop\BrainPerturbationProject\qc\preprocessing_qc\sub-005_ses-01_task-WorkingMemory_run-2_eeg-ica.fif
