subject,file,sampling_rate,channel_index,channel_name,mean,std,min,max,ptp,std_ratio_to_median,near_minus_500,near_plus_500,near_minus_1000,near_plus_1000
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,1,CH1,-27.667354583740234,59.46059799194336,-473.0158386230469,535.5311889648438,1008.5469970703125,1.5463494062423706,0,8,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,2,CH2,-17.74640655517578,54.99803161621094,-462.2710266113281,533.0892333984375,995.3602294921875,1.4302946329116821,0,2,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,3,CH3,-32.24353790283203,61.10392379760742,-481.31866455078125,570.2076416015625,1051.5263671875,1.5890861749649048,0,15,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,4,CH4,-13.371925354003906,63.011932373046875,-430.0365905761719,547.7412109375,977.77783203125,1.6387064456939697,0,4,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,5,CH5,-78.37706756591797,107.20220184326172,-426.12939453125,683.5165405273438,1109.64599609375,2.787931203842163,0,82,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,6,CH6,-42.18328094482422,46.963279724121094,-350.42730712890625,365.07940673828125,715.5067138671875,1.221340537071228,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,7,CH7,-46.939212799072266,47.50685501098633,-390.9645690917969,416.3614807128906,807.3260498046875,1.2354769706726074,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,8,CH8,-23.871902465820312,56.57052230834961,-376.80096435546875,503.2967529296875,880.0977172851562,1.471189260482788,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,9,CH9,-64.68000030517578,93.80328369140625,-625.8851928710938,591.2088623046875,1217.093994140625,2.4394750595092773,168,35,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,10,CH10,-34.22645568847656,54.35972595214844,-642.00244140625,279.12091064453125,921.1233520507812,1.4136946201324463,3,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,11,CH11,-34.773136138916016,49.73539733886719,-402.1977844238281,512.576416015625,914.774169921875,1.2934330701828003,0,2,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,12,CH12,-28.792490005493164,41.911556243896484,-311.35528564453125,590.2320556640625,901.5873413085938,1.0899639129638672,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,13,CH13,-11.691346168518066,38.80743408203125,-265.4456481933594,365.07940673828125,630.5250244140625,1.009237289428711,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,14,CH14,-31.727659225463867,37.69511795043945,-291.33087158203125,284.4933166503906,575.82421875,0.9803100824356079,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,15,CH15,-1.3531513214111328,39.86112976074219,-269.35284423828125,380.708251953125,650.0610961914062,1.0366400480270386,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,16,CH16,-34.969764709472656,38.452239990234375,-398.29058837890625,511.5995788574219,909.89013671875,1.0,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,17,CH17,-27.04014778137207,46.27311706542969,-506.7154846191406,621.4896850585938,1128.2052001953125,1.2033920288085938,1,4,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,18,CH18,-32.02336120605469,65.29755401611328,-526.7399291992188,460.805908203125,987.5458374023438,1.698146939277649,2,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,19,CH19,-46.77354431152344,64.43975830078125,-482.29547119140625,469.59710693359375,951.892578125,1.675838828086853,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,20,CH20,-38.17570114135742,49.56954574584961,-605.3723754882812,282.05133056640625,887.4237060546875,1.289119839668274,1,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,21,CH21,-33.600128173828125,46.38249969482422,-782.6617431640625,232.23448181152344,1014.896240234375,1.2062366008758545,3,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,22,CH22,-26.73914909362793,45.22444534301758,-629.3040161132812,445.6654968261719,1074.969482421875,1.1761199235916138,1,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,23,CH23,-50.76658248901367,42.50247573852539,-464.224609375,876.9231567382812,1341.147705078125,1.105331540107727,0,3,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,24,CH24,-17.407072067260742,38.65394973754883,-245.9096221923828,379.7314453125,625.6410522460938,1.0052456855773926,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,25,CH25,-22.490232467651367,39.332279205322266,-233.69961547851562,278.1441345214844,511.84375,1.0228865146636963,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,26,CH26,-39.43839645385742,35.02304458618164,-322.5885009765625,475.9463195800781,798.5347900390625,0.9108193516731262,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,27,CH27,-36.71540451049805,40.84417724609375,-560.927978515625,991.2088623046875,1552.1368408203125,1.06220543384552,2,30,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,28,CH28,-16.906688690185547,41.408424377441406,-588.2783813476562,456.4103088378906,1044.688720703125,1.0768793821334839,4,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,29,CH29,-51.93783187866211,44.726287841796875,-547.2527465820312,333.3333740234375,880.5861206054688,1.163164734840393,2,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,30,CH30,-56.618858337402344,42.85573196411133,-365.5677185058594,273.7485046386719,639.3162231445312,1.1145185232162476,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,31,CH31,-65.62544250488281,41.19319534301758,-567.7655639648438,231.74607849121094,799.5116577148438,1.0712820291519165,1,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,32,CH32,-46.68363571166992,39.34740447998047,-445.1770324707031,671.3065185546875,1116.4835205078125,1.0232799053192139,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,33,CH33,-55.74434280395508,36.707496643066406,-354.82293701171875,537.9732055664062,892.796142578125,0.9546257257461548,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,34,CH34,-18.742191314697266,36.200828552246094,-220.51280212402344,313.79736328125,534.3101806640625,0.9414491653442383,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,35,CH35,-12.120271682739258,39.83765411376953,-191.69717407226562,263.9804992675781,455.67767333984375,1.0360294580459595,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,36,CH36,-38.98674774169922,35.79518127441406,-278.14404296875,363.61419677734375,641.7582397460938,0.9308997392654419,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,37,CH37,-39.816505432128906,37.69024658203125,-395.84857177734375,572.1612548828125,968.0098266601562,0.9801833629608154,0,8,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,38,CH38,-24.341747283935547,37.411258697509766,-546.7643432617188,407.08184814453125,953.84619140625,0.9729279279708862,1,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,39,CH39,-33.00046157836914,40.33871841430664,-552.6251220703125,306.4713439941406,859.096435546875,1.049060344696045,4,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,40,CH40,-83.52375793457031,48.26282501220703,-379.73138427734375,358.2417907714844,737.97314453125,1.2551368474960327,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,41,CH41,-48.24260711669922,36.940208435058594,-318.1929016113281,383.6386413574219,701.83154296875,0.9606776833534241,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,42,CH42,-33.383934020996094,36.33198928833008,-264.9572448730469,391.45306396484375,656.4102783203125,0.9448601603507996,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,43,CH43,-16.66322898864746,35.31787109375,-242.00241088867188,359.2185974121094,601.2210083007812,0.9184867143630981,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,44,CH44,-30.384611129760742,36.184173583984375,-225.88519287109375,200.0000457763672,425.88525390625,0.9410160183906555,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,45,CH45,-19.46670913696289,35.54271697998047,-203.9071807861328,235.6532745361328,439.5604553222656,0.9243341088294983,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,46,CH46,-17.451589584350586,34.12211227416992,-192.18556213378906,266.9109191894531,459.09649658203125,0.8873894810676575,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,47,CH47,-61.784000396728516,32.536739349365234,-284.0048522949219,287.4237365722656,571.4285888671875,0.846159815788269,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,48,CH48,-39.54937744140625,32.952003479003906,-329.91448974609375,365.07940673828125,694.993896484375,0.8569592833518982,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,49,CH49,-68.0638656616211,32.15461730957031,-353.84613037109375,545.78759765625,899.6337280273438,0.836222231388092,0,1,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,50,CH50,-41.338897705078125,28.96516990661621,-247.86322021484375,170.20761108398438,418.0708312988281,0.753276526927948,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,51,CH51,-33.76069259643555,35.53033447265625,-277.167236328125,482.2955017089844,759.4627685546875,0.9240120649337769,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,52,CH52,-54.147552490234375,34.474220275878906,-261.050048828125,284.9817199707031,546.03173828125,0.896546483039856,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,53,CH53,-28.937362670898438,35.58150100708008,-232.23440551757812,225.39686584472656,457.63128662109375,0.9253427386283875,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,54,CH54,-2.51871395111084,52.76741409301758,-306.4712829589844,469.59710693359375,776.068359375,1.3722845315933228,0,0,0,0
sub-002,sub-002_ses-01_task-WorkingMemory_run-1_eeg.set,250.0,55,CH55,-2.4036831855773926,39.54170608520508,-192.67396545410156,212.69845581054688,405.3724365234375,1.0283329486846924,0,0,0,0
