subject,run,file,total_epochs,remember_trials,ignore_trials,remember_ignore_total,event_types
sub-001,run-01,sub-001_run-01_harmonized_epo.fif,258,0,0,0,6
sub-001,run-02,sub-001_run-02_harmonized_epo.fif,297,0,0,0,6
sub-002,run-01,sub-002_run-01_harmonized_epo.fif,295,0,0,0,6
sub-002,run-02,sub-002_run-02_harmonized_epo.fif,321,0,0,0,6
sub-002,run-03,sub-002_run-03_harmonized_epo.fif,290,0,0,0,6
sub-002,run-04,sub-002_run-04_harmonized_epo.fif,287,0,0,0,6
sub-003,run-01,sub-003_run-01_harmonized_epo.fif,278,0,0,0,6
sub-003,run-02,sub-003_run-02_harmonized_epo.fif,286,0,0,0,6
sub-003,run-03,sub-003_run-03_harmonized_epo.fif,321,0,0,0,6
sub-003,run-04,sub-003_run-04_harmonized_epo.fif,302,0,0,0,7
sub-004,run-01,sub-004_run-01_harmonized_epo.fif,119,0,0,0,6
sub-004,run-03,sub-004_run-03_harmonized_epo.fif,323,0,0,0,7
sub-004,run-04,sub-004_run-04_harmonized_epo.fif,338,0,0,0,7
sub-005,run-01,sub-005_run-01_harmonized_epo.fif,323,0,0,0,5
sub-005,run-02,sub-005_run-02_harmonized_epo.fif,323,0,0,0,5
sub-005,run-03,sub-005_run-03_harmonized_epo.fif,325,0,0,0,5
sub-005,run-04,sub-005_run-04_harmonized_epo.fif,325,0,0,0,5
sub-006,run-01,sub-006_run-01_harmonized_epo.fif,98,0,0,0,6
sub-006,run-02,sub-006_run-02_harmonized_epo.fif,56,0,0,0,4
sub-006,run-03,sub-006_run-03_harmonized_epo.fif,53,0,0,0,5
sub-006,run-04,sub-006_run-04_harmonized_epo.fif,33,0,0,0,4
sub-007,run-01,sub-007_run-01_harmonized_epo.fif,194,0,0,0,6
sub-007,run-02,sub-007_run-02_harmonized_epo.fif,237,0,0,0,6
sub-007,run-03,sub-007_run-03_harmonized_epo.fif,260,0,0,0,6
sub-007,run-04,sub-007_run-04_harmonized_epo.fif,260,0,0,0,6
sub-008,run-01,sub-008_run-01_harmonized_epo.fif,188,0,0,0,7
sub-008,run-02,sub-008_run-02_harmonized_epo.fif,249,0,0,0,7
sub-008,run-03,sub-008_run-03_harmonized_epo.fif,327,0,0,0,7
sub-008,run-04,sub-008_run-04_harmonized_epo.fif,319,0,0,0,7
sub-009,run-01,sub-009_run-01_harmonized_epo.fif,336,0,0,0,7
sub-009,run-02,sub-009_run-02_harmonized_epo.fif,328,0,0,0,7
sub-009,run-03,sub-009_run-03_harmonized_epo.fif,321,0,0,0,6
sub-009,run-04,sub-009_run-04_harmonized_epo.fif,351,0,0,0,6
sub-010,run-01,sub-010_run-01_harmonized_epo.fif,288,0,0,0,7
sub-010,run-02,sub-010_run-02_harmonized_epo.fif,249,0,0,0,7
sub-010,run-03,sub-010_run-03_harmonized_epo.fif,234,0,0,0,7
sub-010,run-04,sub-010_run-04_harmonized_epo.fif,225,0,0,0,6
sub-011,run-01,sub-011_run-01_harmonized_epo.fif,350,0,0,0,6
sub-011,run-02,sub-011_run-02_harmonized_epo.fif,349,0,0,0,8
sub-011,run-03,sub-011_run-03_harmonized_epo.fif,350,0,0,0,7
sub-011,run-04,sub-011_run-04_harmonized_epo.fif,348,0,0,0,7
sub-012,run-01,sub-012_run-01_harmonized_epo.fif,194,0,0,0,6
sub-012,run-02,sub-012_run-02_harmonized_epo.fif,160,0,0,0,6
sub-012,run-03,sub-012_run-03_harmonized_epo.fif,174,0,0,0,5
sub-014,run-01,sub-014_run-01_harmonized_epo.fif,331,0,0,0,7
sub-014,run-02,sub-014_run-02_harmonized_epo.fif,328,0,0,0,7
sub-014,run-03,sub-014_run-03_harmonized_epo.fif,332,0,0,0,7
sub-015,run-01,sub-015_run-01_harmonized_epo.fif,134,0,0,0,6
sub-015,run-02,sub-015_run-02_harmonized_epo.fif,143,0,0,0,6
sub-015,run-03,sub-015_run-03_harmonized_epo.fif,99,0,0,0,7
sub-016,run-01,sub-016_run-01_harmonized_epo.fif,183,0,0,0,7
sub-016,run-02,sub-016_run-02_harmonized_epo.fif,159,0,0,0,5
sub-016,run-03,sub-016_run-03_harmonized_epo.fif,165,0,0,0,6
sub-017,run-01,sub-017_run-01_harmonized_epo.fif,121,0,0,0,6
sub-017,run-02,sub-017_run-02_harmonized_epo.fif,184,0,0,0,7
sub-017,run-03,sub-017_run-03_harmonized_epo.fif,193,0,0,0,7
sub-018,run-01,sub-018_run-01_harmonized_epo.fif,283,0,0,0,7
sub-018,run-02,sub-018_run-02_harmonized_epo.fif,347,0,0,0,7
sub-018,run-03,sub-018_run-03_harmonized_epo.fif,346,0,0,0,7
sub-019,run-01,sub-019_run-01_harmonized_epo.fif,348,0,0,0,7
sub-019,run-02,sub-019_run-02_harmonized_epo.fif,341,0,0,0,6
sub-019,run-03,sub-019_run-03_harmonized_epo.fif,337,0,0,0,7
sub-020,run-01,sub-020_run-01_harmonized_epo.fif,340,0,0,0,7
sub-020,run-02,sub-020_run-02_harmonized_epo.fif,307,0,0,0,6
sub-020,run-03,sub-020_run-03_harmonized_epo.fif,334,0,0,0,7
sub-021,run-01,sub-021_run-01_harmonized_epo.fif,328,0,0,0,6
sub-021,run-02,sub-021_run-02_harmonized_epo.fif,333,0,0,0,7
sub-021,run-03,sub-021_run-03_harmonized_epo.fif,298,0,0,0,6
sub-022,run-01,sub-022_run-01_harmonized_epo.fif,307,0,0,0,7
sub-022,run-02,sub-022_run-02_harmonized_epo.fif,195,0,0,0,6
sub-022,run-03,sub-022_run-03_harmonized_epo.fif,350,0,0,0,7
sub-022,run-04,sub-022_run-04_harmonized_epo.fif,350,0,0,0,7
sub-022,run-05,sub-022_run-05_harmonized_epo.fif,350,0,0,0,7
sub-022,run-06,sub-022_run-06_harmonized_epo.fif,340,0,0,0,7
sub-023,run-01,sub-023_run-01_harmonized_epo.fif,351,0,0,0,7
sub-023,run-02,sub-023_run-02_harmonized_epo.fif,350,0,0,0,7
sub-023,run-03,sub-023_run-03_harmonized_epo.fif,350,0,0,0,7
sub-023,run-04,sub-023_run-04_harmonized_epo.fif,350,0,0,0,7
sub-023,run-05,sub-023_run-05_harmonized_epo.fif,350,0,0,0,6
sub-024,run-01,sub-024_run-01_harmonized_epo.fif,155,0,0,0,6
sub-024,run-02,sub-024_run-02_harmonized_epo.fif,85,0,0,0,6
sub-024,run-03,sub-024_run-03_harmonized_epo.fif,77,0,0,0,5
